No.,Champion,Date,Event,Location,Reign,Days,Defenses
57,Kazuchika Okada,"February 12, 2012",The New Beginning,"Osaka, Japan",1,125,2
58,Hiroshi Tanahashi,"June 16, 2012",Dominion 6.16,"Osaka, Japan",6,295,7
59,Kazuchika Okada,"April 7, 2013",Invasion Attack,"Tokyo, Japan",2,391,8
60,A.J. Styles,"May 3, 2014",Wrestling Dontaku 2014,"Fukuoka, Japan",1,163,2
61,Hiroshi Tanahashi,"October 13, 2014",King of Pro-Wrestling,"Tokyo, Japan",7,121,1
62,A.J. Styles,"February 11, 2015",The New Beginning in Osaka,"Osaka, Japan",2,144,1
63,Kazuchika Okada,"July 5, 2015",Dominion 7.5 in Osaka-jo Hall,"Osaka, Japan",3,280,3
64,Tetsuya Naito,"April 10, 2016",Invasion Attack 2016,"Tokyo, Japan",1,70,1
65,Kazuchika Okada,"June 19, 2016",Dominion 6.19 in Osaka-jo Hall,"Osaka, Japan",4,720,12
66,Kenny Omega,"June 9, 2018",Dominion 6.9 in Osaka-jo Hall,"Osaka, Japan",1,209,3
67,Hiroshi Tanahashi,"January 4, 2019",Wrestle Kingdom 13 in Tokyo Dome,"Tokyo, Japan",8,38,0
68,Jay White,"February 11, 2019",The New Beginning in Osaka,"Osaka, Japan",1,54,0
69,Kazuchika Okada,"April 6, 2019",G1 Supercard,"New York City, U.S.",5,274,5
70,Tetsuya Naito,"January 5, 2020","Wrestle Kingdom 14 in Tokyo Dome
Night 2","Tokyo, Japan",2,189,1
71,Evil,"July 12, 2020",Dominion in Osaka-jo Hall,"Osaka, Japan",1,48,1
72,Tetsuya Naito,"August 29, 2020",Summer Struggle in Jingu,"Tokyo, Japan",3,128,1
73,Kota Ibushi,"January 4, 2021","Wrestle Kingdom 15 in Tokyo Dome
Night 1","Tokyo, Japan",1,59,3
,Unified,"March 4, 2021",Anniversary Event,"Tokyo, Japan",,,
